ALGORITHM,"(“a list of steps to finish a task. A set of instructions that can be performed with or without a computer. For example, the collection of steps to make a peanut butter and jelly sandwich is an algorithm.”, ”https://code.org/curriculum.dosc/k-5/glossary”)
"
ARGUMENT,"(“is a value passed to a function (or method) when calling the function.”, “https://en.wiktionary.org/wiki/wrgument”)"
ASCII ,"(“is an standard that assigns letters, numbers, and other characters within the 256 slots available in the 8-bit code.”, “http://www.computerhope.com/jargon/a/ascii.htm”)"
BUG,"(“is a general term used to describe any unexpected problem with hardware or software.”, “http://www.computerhope.com/jargon/b/bug.htm”)"
DEBUGGING," (“is a process of ridding a computer program of the logical or syntactical errors. This is commonly achieved by manually examining the program's source code.”, “http://www.computerhope.com/jargon/d/debuggin.htm”)"
DICTIONARY,"(“are unordered bags of key-value pair. When you add a key to a dictionary, you must also add a value for that key. There are optimized for retrieving the value when you know the key, but not the other way around.”, “http://www.diveintopython3.net/native-datatypes.html”)"
FUNCTION,"(“a algorithm that receives zero or more arguments and may return a result.”, “https://en.wiktionary.org/wiki/function”)"
MODULE,"(“is a discrete piece of code which can be independently created and maintained to be used in different systems”, “http://www.computerhope.com/jargon/m/module.htm”) "
PARAMETER,"(“is a named variable passed into a function. Parameter variables are used to import arguments into functions.”, “https://developer.mozilla.org/en-US/docs/Glossary/Parameter”)"
ERROR,"(“is a term used to describe any issue that arises unexpectedly that cause a program to not function properly.”, “http://www.computerhope.com/jargon/e/error.htm”)"
TUPLE,"(“is used in various programming languages as an ordered list of elements and referenced as an n-tuple, where ""n"" is the number of elements in an ordered list. Most often, a tuple is represented by including the elements in parentheses, but a tuple may also use brackets or curly brackets.”, “http://www.computerhope.com/jargon/t/tuple.htm”)"
VARIABLE,"(“is a location capable of storing temporary data within a program. This data can then be modified, stored, or displayed whenever needed.          http://www.computerhope.com/jargon/v/variable.htm"
COMPILATION," (“is the process the computer takes to convert a high-level programming language into a machine language that the computer can understand. This is done by using a compiler.” , “http://www.computerhope.com/jargon/c/compilat.htm”)"
COMMENT," (“is any text in a program's code, script, or another file that is not meant to be seen by the user running the program. However, is seen when viewing the source code.”, “http://www.computerhope.com/jargon/c/comment.htm”)"
OPERATOR,"(“is an object that is capable of manipulating a value or operator. For example, in ""1 + 2"", the ""1"" and ""2"" are the operands and the plus symbol is the operator.”, “http://www.computerhope.com/jargon/o/operator.htm”)"
3,"('4', '5')"
